filing_status,income,student_loan_interest,mortgage_interest,charitable_donations,dependents,predicted_tax,refund
head_of_household,28595,1440,4997,1719,1,0,1536
married_filing_jointly,45457,980,7032,4769,3,0,4779
single,55049,1698,992,1587,3,0,1670
single,58511,1715,8112,1611,3,0,1259
married_filing_jointly,72413,40,5287,896,2,1033,0
single,63554,2354,2240,277,1,3663,0
married_filing_jointly,33293,942,1476,4647,1,0,1999
single,67603,337,6426,1636,0,6699,0
single,72211,1337,389,2158,0,7378,0
head_of_household,71195,1098,999,2432,0,5617,0
head_of_household,81615,2326,1855,3904,1,5316,0
single,76678,895,8125,4856,0,7864,0
single,69183,2320,8850,3262,1,4252,0
head_of_household,58596,1674,2763,1449,1,1940,0
head_of_household,26780,930,3663,4500,3,0,5945
head_of_household,68592,288,4986,1232,0,5487,0
married_filing_jointly,64153,723,1481,4117,3,0,2426
single,65431,2319,7256,677,2,1996,0
head_of_household,34465,1953,3731,2658,2,0,3094
single,38378,1089,7262,2028,2,0,1650
married_filing_jointly,81063,482,451,3758,1,4114,0
married_filing_jointly,59208,935,9729,4624,1,893,0
head_of_household,73630,2295,3093,2037,1,3977,0
married_filing_jointly,60566,155,882,2649,0,3387,0
single,60595,1070,4408,656,3,0,788
head_of_household,78765,1958,4068,165,1,5592,0
single,49679,2248,3277,4944,3,0,2783
single,61922,1683,8566,4591,3,0,1204
married_filing_jointly,50754,123,7951,589,3,0,3538
married_filing_jointly,51310,2048,4690,4524,0,1824,0
married_filing_jointly,53816,967,4595,2821,0,2459,0
married_filing_jointly,64442,854,4559,4258,2,0,424
married_filing_jointly,50425,639,7291,1262,2,0,1721
head_of_household,85115,2238,8160,71,3,2948,0
single,42107,1602,112,3516,2,0,1443
single,56262,441,5131,4750,3,0,1753
single,51205,1944,3197,3580,0,3599,0
single,88939,1838,139,268,0,11363,0
married_filing_jointly,63931,1829,1424,1776,0,3695,0
single,80636,2190,2949,2462,1,6976,0
head_of_household,30288,532,3168,1268,3,0,5231
head_of_household,65341,2274,8708,1015,0,4730,0
single,77792,1336,6043,2722,3,2481,0
single,61645,948,6989,1083,2,1375,0
head_of_household,81309,2019,7236,4101,2,3273,0
head_of_household,49654,459,6261,406,0,3138,0
married_filing_jointly,88186,550,887,3076,3,1816,0
head_of_household,105977,392,3104,985,0,13743,0
married_filing_jointly,52743,1787,49,3603,2,0,1861
married_filing_jointly,51089,844,3951,4485,0,1947,0
married_filing_jointly,89067,2257,3560,709,3,2155,0
married_filing_jointly,91591,1138,18,2618,2,4537,0
married_filing_jointly,49542,645,4821,4849,1,0,258
single,51596,2266,6340,1411,2,0,131
head_of_household,54364,2454,8058,4621,1,958,0
married_filing_jointly,33110,1466,9665,1485,0,245,0
head_of_household,41626,1377,2606,2950,0,1759,0
head_of_household,39917,141,7846,4651,3,0,4501
married_filing_jointly,44644,500,8643,2934,1,0,598
single,59306,839,6432,4114,0,4640,0
married_filing_jointly,64684,1682,3765,4670,1,1455,0
single,91010,1565,2438,1003,0,11717,0
head_of_household,40032,2046,9741,2466,2,0,2453
single,79686,1530,6358,2466,0,8912,0
single,55720,595,8319,1938,3,0,1499
single,59010,1904,5941,1939,2,738,0
head_of_household,73496,280,7644,1635,3,479,0
head_of_household,37545,423,4855,1698,2,0,2465
single,67648,269,6547,4527,1,4087,0
single,63329,153,7196,2091,3,0,300
married_filing_jointly,69849,1750,5911,1895,0,4400,0
single,65783,661,6481,4240,1,3654,0
married_filing_jointly,109106,1967,2761,3398,0,12036,0
single,47245,82,4456,1073,2,0,351
married_filing_jointly,49380,1449,9607,2402,2,0,2080
head_of_household,47537,1298,6361,4895,0,2245,0
single,48890,2331,5693,3212,0,3319,0
single,47252,979,5788,4037,1,1186,0
single,83780,2220,201,1151,0,9950,0
single,88410,1659,6160,2445,3,4807,0
married_filing_jointly,48585,1398,517,1956,3,0,4116
single,43352,632,7737,4558,0,2697,0
head_of_household,69428,1531,9533,3907,3,0,1037
head_of_household,48955,786,1988,807,0,2967,0
single,72658,397,3802,186,1,6117,0
head_of_household,64058,1143,5808,4827,3,0,1745
single,29685,933,7162,4524,3,0,4962
single,90950,1460,6241,1307,0,11660,0
head_of_household,95917,1852,8399,2284,3,4923,0
single,47744,285,5633,4866,2,0,770
head_of_household,52245,264,5755,757,1,1430,0
married_filing_jointly,65717,2367,6309,4231,1,1550,0
single,66689,2136,4117,4887,3,0,612
married_filing_jointly,73170,1677,8345,3854,3,0,1427
head_of_household,100204,1226,1518,4266,2,7568,0
married_filing_jointly,56461,820,6163,2206,2,0,1131
married_filing_jointly,44034,1762,2600,3558,3,0,4898
head_of_household,32413,2381,2195,1580,3,0,5234
married_filing_jointly,45381,2269,3554,961,2,0,2485
married_filing_jointly,59337,40,2849,3847,0,3110,0
head_of_household,95891,1731,1742,3575,2,6660,0
married_filing_jointly,49647,67,1306,875,0,2300,0
head_of_household,64475,987,3849,2418,1,2612,0
married_filing_jointly,59671,1799,7519,4198,1,896,0
head_of_household,83767,1621,4195,1001,2,4583,0
head_of_household,110538,1655,5178,3384,0,13941,0
married_filing_jointly,49382,1278,2555,4066,2,0,2259
married_filing_jointly,50211,694,2305,2845,2,0,1943
married_filing_jointly,80883,1085,7619,1481,0,6443,0
single,73637,2479,9280,3301,2,3189,0
single,96934,1693,2642,657,1,11068,0
single,71678,2315,9369,2780,3,908,0
head_of_household,52814,1058,6409,422,3,0,2555
married_filing_jointly,71813,778,4757,3681,2,538,0
head_of_household,82174,493,2994,4266,0,7762,0
single,76409,1585,8751,2710,0,8125,0
married_filing_jointly,70145,1492,1271,452,1,2640,0
head_of_household,81333,1790,1813,2397,0,7703,0
married_filing_jointly,83385,660,8801,1975,0,6978,0
head_of_household,87643,1348,2461,1657,1,7351,0
married_filing_jointly,72974,1327,4120,2541,2,748,0
single,56657,1299,6124,3075,3,0,1608
single,62934,1986,8475,3164,1,3052,0
married_filing_jointly,84130,2044,4396,2966,2,2619,0
head_of_household,43661,1928,9283,2053,1,45,0
single,67373,1347,816,287,2,2723,0
single,52133,1058,7304,3217,1,1860,0
single,60574,976,7331,3854,2,807,0
married_filing_jointly,85569,481,82,1447,1,5614,0
married_filing_jointly,63821,727,1920,607,2,0,45
head_of_household,60928,1031,7817,4552,1,1925,0
head_of_household,32802,342,2093,1764,3,0,5010
head_of_household,74925,1447,7071,1225,3,627,0
married_filing_jointly,72909,2379,7967,1235,0,4771,0
married_filing_jointly,103265,2485,8367,1029,2,7158,0
head_of_household,53844,2221,5285,2671,1,1158,0
head_of_household,64383,526,4937,3962,2,471,0
married_filing_jointly,64987,1896,369,4542,3,0,2518
head_of_household,91549,658,1818,4930,2,5642,0
single,58094,2073,2101,3177,1,2459,0
married_filing_jointly,65580,819,3490,3722,2,0,219
head_of_household,72157,405,1779,4906,1,3437,0
married_filing_jointly,63732,2279,7674,1475,3,0,2346
single,51071,1573,1364,2896,3,0,2289
married_filing_jointly,63881,1811,7294,808,3,0,2192
married_filing_jointly,81472,504,3676,978,0,6811,0
married_filing_jointly,39469,178,2426,2463,3,0,5087
married_filing_jointly,62659,131,8264,725,2,0,127
single,45997,1846,8089,2501,0,3116,0
married_filing_jointly,83900,1478,2962,3362,3,606,0
married_filing_jointly,29536,2395,859,1216,2,0,4000
head_of_household,48821,771,4138,4051,2,0,1436
married_filing_jointly,67544,1429,2424,2197,2,126,0
head_of_household,91310,2123,9256,2806,1,7735,0
single,58684,578,4017,778,0,4997,0
single,48896,1515,8560,972,2,0,312
single,97623,193,8342,2810,1,11076,0
single,31039,2007,1134,2123,3,0,4652
head_of_household,16023,1185,5166,598,2,0,4000
married_filing_jointly,68800,2394,5119,3341,1,2023,0
single,49958,1384,5694,224,2,0,80
married_filing_jointly,39575,1792,6136,840,0,924,0
head_of_household,74167,1110,5485,1814,0,6404,0
head_of_household,64876,2261,4164,4809,3,0,1779
head_of_household,48718,1936,2346,1106,2,0,1234
single,34393,779,5039,124,1,136,0
married_filing_jointly,77449,261,4897,3246,3,0,519
married_filing_jointly,73004,729,8252,2931,2,777,0
married_filing_jointly,58016,282,5041,4125,3,0,3110
head_of_household,96932,1490,3901,2971,1,9075,0
single,38598,361,1337,2017,3,0,3535
head_of_household,29489,440,1184,2415,3,0,5416
head_of_household,46161,2140,4426,4590,3,0,3984
married_filing_jointly,59088,1644,1551,3096,2,0,1022
head_of_household,64866,866,1629,1609,1,2770,0
married_filing_jointly,55175,1447,9519,717,0,2817,0
single,67041,141,1526,3561,2,2195,0
married_filing_jointly,34969,1314,9865,1016,0,493,0
single,88875,1455,1361,3565,0,10708,0
married_filing_jointly,58356,1875,9765,4701,2,0,1330
head_of_household,82345,1847,4370,4470,2,3457,0
head_of_household,66854,1712,5283,1960,1,2865,0
single,69135,700,7610,1048,1,5085,0
single,71395,997,1993,1357,3,1449,0
single,68954,2096,869,3426,0,6215,0
married_filing_jointly,72854,1325,1014,115,1,3025,0
married_filing_jointly,86583,880,602,2095,3,1607,0
single,63930,1213,690,1801,1,3662,0
head_of_household,74180,1159,8685,2146,2,2324,0
married_filing_jointly,58205,554,489,1620,1,1179,0
married_filing_jointly,88802,403,6864,4780,0,7609,0
married_filing_jointly,46472,891,7240,2950,1,0,428
single,96018,601,7786,3792,0,12418,0
single,59196,1830,8024,2941,2,649,0
single,31384,340,294,4905,0,1254,0
single,62562,1968,5488,977,1,3376,0
single,46378,703,4027,3066,3,0,2768
head_of_household,76812,317,2912,783,2,3388,0
head_of_household,46947,1386,9909,240,1,722,0
single,51076,2429,4744,1553,2,0,230
married_filing_jointly,22209,2280,1873,4578,2,0,4000
single,50953,1800,3258,1012,1,1894,0
head_of_household,11522,1367,2817,186,1,0,2000
head_of_household,28321,1572,8636,1881,3,0,5593
married_filing_jointly,75208,816,3641,4586,2,832,0
head_of_household,75716,552,4458,430,2,3172,0
single,68509,855,5307,238,1,5092,0
married_filing_jointly,40660,1812,8933,2345,0,880,0
single,59045,182,2041,75,1,3193,0
single,59927,1574,679,1356,2,957,0
married_filing_jointly,36832,396,5738,4922,1,0,1618
single,90067,1727,5668,2330,3,5182,0
head_of_household,77547,1517,9550,4686,0,6427,0
single,55580,906,7697,1902,1,2450,0
married_filing_jointly,60537,1356,8033,4013,3,0,2923
married_filing_jointly,64167,2174,62,4670,2,0,665
married_filing_jointly,19165,0,7829,4987,1,0,2000
single,55056,18,7352,2059,2,475,0
married_filing_jointly,46360,583,6915,140,3,0,4067
married_filing_jointly,39967,455,8326,1789,2,0,2997
single,54377,2036,3644,3626,3,0,2036
head_of_household,95953,1132,4970,16,3,5588,0
single,72816,2492,8003,4348,3,775,0
married_filing_jointly,48576,1952,3278,464,1,0,4
married_filing_jointly,71451,2150,7296,4471,2,235,0
single,87987,987,9014,1827,2,6998,0
head_of_household,78492,519,3074,3028,0,7219,0
married_filing_jointly,61192,858,8312,519,0,3633,0
married_filing_jointly,47061,173,7552,89,0,2071,0
married_filing_jointly,73964,1366,1637,4815,0,4589,0
single,67869,2478,5103,2851,2,2019,0
married_filing_jointly,77903,726,9116,2843,3,0,433
head_of_household,72703,1710,644,4725,3,0,689
married_filing_jointly,80991,1875,2032,1884,1,4204,0
married_filing_jointly,49295,1681,2761,4171,3,0,4330
head_of_household,86347,1347,2068,925,2,5228,0
married_filing_jointly,63951,989,241,3734,2,0,436
single,101505,419,2668,969,2,10286,0
single,46216,593,802,1094,1,1461,0
single,94719,1774,5059,3195,0,12005,0
head_of_household,63958,2459,195,1404,3,0,1504
married_filing_jointly,46971,935,2187,3364,2,0,2423
single,50322,1107,2330,4290,2,0,491
head_of_household,53593,1136,4841,3982,0,3101,0
married_filing_jointly,68483,331,3606,4323,2,115,0
head_of_household,70456,2088,8468,4013,3,0,993
single,48525,1793,60,4556,1,1179,0
single,59512,958,3927,4713,2,578,0
single,102845,104,6296,3092,3,8183,0
head_of_household,94550,201,2591,4159,2,6573,0
head_of_household,68726,2497,8758,2074,0,4982,0
single,60760,1842,9763,284,2,1159,0
head_of_household,62400,1866,6121,4933,2,0,43
single,72270,1996,1200,4926,1,4637,0
single,39544,1289,2854,1187,0,2566,0
married_filing_jointly,54852,909,7024,3969,0,2452,0
head_of_household,26628,209,9428,2965,1,0,1734
single,67984,562,6972,4319,2,2143,0
single,72943,1563,136,783,3,1791,0
head_of_household,50336,770,1029,949,0,3118,0
married_filing_jointly,91479,628,2594,3939,0,8334,0
married_filing_jointly,35484,1628,7206,44,2,0,3388
single,30712,1701,661,1810,2,0,2617
head_of_household,64489,386,2472,4566,0,4428,0
married_filing_jointly,80941,1935,86,2081,2,2137,0
head_of_household,93678,2343,6219,3498,3,4055,0
head_of_household,50822,2305,8143,829,0,3006,0
single,81573,1104,6968,1909,3,3543,0
married_filing_jointly,59229,267,2773,2581,3,0,2778
single,56547,2466,1700,691,2,524,0
married_filing_jointly,77673,2282,2700,4019,3,0,979
married_filing_jointly,73046,1856,6815,931,2,887,0
married_filing_jointly,28472,1998,1647,4936,1,0,2000
married_filing_jointly,89530,1380,6038,3406,2,3857,0
married_filing_jointly,87601,1236,5164,147,3,2181,0
head_of_household,47488,573,5520,1032,1,789,0
single,67916,48,3687,1311,2,2903,0
head_of_household,69880,1150,596,387,3,0,233
married_filing_jointly,65213,222,4545,3121,0,3880,0
single,48993,1431,8676,1873,0,3600,0
married_filing_jointly,46567,1528,8837,3588,2,0,2569
single,59488,1819,4757,915,2,928,0
head_of_household,83454,2324,4384,1878,0,8166,0
single,70872,1461,8912,3748,3,706,0
single,52587,1130,4733,277,3,0,1740
single,75433,1681,7081,1977,3,2051,0
single,10000,2467,8690,1859,2,0,4000
single,82975,374,7117,3036,1,7764,0
married_filing_jointly,25205,2120,4729,3371,1,0,2000
single,52751,2021,1673,4713,1,1640,0
single,37606,1053,8306,2182,1,242,0
head_of_household,34106,1889,9928,4675,1,0,1325
single,83216,1823,7178,1170,2,5909,0
head_of_household,50645,1474,2294,489,2,0,874
married_filing_jointly,66930,2242,3630,2525,1,1915,0
single,59061,1179,146,1182,2,922,0
head_of_household,69540,1064,3453,4479,2,963,0
head_of_household,61536,2070,4507,4258,1,1908,0
married_filing_jointly,34340,359,5783,2488,3,0,5620
single,79925,2041,7751,1876,2,4982,0
single,50124,1141,5628,2462,3,0,2299
head_of_household,28868,1635,8328,1630,2,0,3519
single,51437,1403,3360,287,2,87,0
head_of_household,90015,1943,3005,4282,1,7165,0
single,77004,678,3552,1907,2,4632,0
head_of_household,53026,2487,18,1161,0,3209,0
single,53014,6,2242,129,0,4463,0
married_filing_jointly,53567,2468,6318,2363,1,304,0
single,101534,1591,5097,143,3,8216,0
single,67638,832,8640,15,3,954,0
married_filing_jointly,68600,1810,1948,244,3,0,1558
single,80605,913,9137,926,0,9589,0
married_filing_jointly,64775,2011,5618,3178,3,0,2393
single,54819,1442,4236,2176,3,0,1737
head_of_household,56073,1450,6901,886,1,1732,0
head_of_household,58567,1502,1920,340,3,0,1909
single,59255,125,4188,2051,0,4967,0
single,74552,2442,238,3398,0,7377,0
single,61038,816,204,3950,0,4870,0
head_of_household,74652,1829,5552,305,1,4685,0
